Ax,Ay,Az
256,-284,15956
256,-260,15656
511,-328,15652
511,-268,15676
767,-480,15656
511,-264,15672
511,-344,15680
511,-300,15632
511,-284,15712
511,-280,15888
512,-484,15652
511,-276,15712
767,-512,15960
256,-360,15952
256,-280,15912
256,-296,15940
256,-320,15648
767,-468,15684
511,-336,15692
767,-500,15980
256,-392,15936
256,-388,15940
512,-512,15732
767,-512,15988
256,-296,15644
511,-268,16000
256,-296,15628
511,-352,15672
511,-276,15980
512,-512,15696
512,-492,15928
256,-268,15692
511,-328,15692
511,-264,15912
256,-332,15932
256,-280,15980
512,-452,15716
511,-296,15688
511,-272,15644
511,-332,15672
511,-296,15680
767,-488,15652
256,-340,15928
256,-264,15688
511,-296,15668
511,-264,15952
256,-280,15660
511,-260,15656
767,-512,15660
511,-300,15680
511,-312,15700
511,-324,15972
512,-492,15928
256,-288,15920
512,-488,15948
512,-508,15684
511,-292,15892
512,-476,15672
511,-552,15832
767,-504,15932
256,-296,15688
511,-280,15928
256,-280,15652
511,-260,15664
511,-672,15868
767,-476,15732
511,-272,15976
512,-512,15704
512,-496,15672
511,-308,15684
256,-328,15680
256,-268,15628
511,-284,15940
256,-272,15924
512,-460,15684
511,-316,15684
511,-288,15664
511,-280,15920
256,-268,15644
511,-332,15680
511,-368,15652
511,-324,15712
511,-276,15672
511,-312,16020
256,-272,15688
511,-260,15660
767,-484,15648
511,-328,15652
767,-504,15728
511,-264,15640
511,-276,15668
511,-276,15708
511,-264,15680
511,-276,15684
511,-292,15932
512,-488,15644
511,-284,15640
767,-496,15936
256,-304,15636
511,-332,15716
511,-304,15648
511,-324,15928
256,-352,15960
256,-264,15924
511,-272,15644
511,-336,15680
767,-512,15700
511,-308,15652
767,-504,15684
511,-284,15708
511,-324,15684
767,-484,15960
256,-316,15632
511,-284,15964
767,-472,15680
767,-500,15676
511,-288,15928
256,-312,15628
256,-304,15696
511,-328,15632
511,-272,15684
511,-296,15984
512,-464,15952
256,-264,15932
512,-488,15688
767,-472,15660
511,-360,15952
256,-276,15716
511,-312,15972
511,-336,15684
511,-292,15660
511,-296,15892
256,-276,15620
767,-508,15688
511,-268,15668
511,-268,15952
256,-300,15692
511,-260,15708
511,-260,15700
511,-328,15976
256,-284,15664
511,-276,15640
767,-476,15684
511,-276,15916
256,-288,15684
767,-504,15648
512,-508,15684
256,-284,15652
511,-288,15676
511,-328,15952
256,-304,15708
767,-432,15944
256,-288,15972
256,-260,15680
511,-268,15648
767,-504,15944
256,-260,15704
511,-284,15892
256,-288,15688
256,-328,15992
512,-500,15656
767,-508,15940
512,-508,15704
767,-496,15920
256,-344,15624
511,-304,15712
256,-324,15688
511,-336,15680
767,-500,15700
511,-300,15704
511,-324,15956
512,-512,15684
511,-284,15636
511,-292,15948
767,-488,15644
511,-368,15964
256,-308,15936
256,-284,15648
511,-376,15908
511,-296,15680
511,-296,15660
767,-500,15928
512,-508,15668
511,-276,15704
767,-508,15692
767,-496,15948
256,-344,15684
767,-500,15680
256,-296,15676
256,-300,15936
512,-504,15696
511,-568,16104
256,-308,15984
256,-292,15664
511,-324,15940
512,-492,15712
511,-328,15900
256,-304,15728
511,-300,15696
511,-292,15964
512,-508,15680
767,-440,15984
512,-508,15940
256,-288,15620
511,-308,15948
256,-532,15860
511,-320,15664
511,-324,15652
511,-304,15728
511,-296,15872
256,-268,15684
511,-564,15860
511,-272,15660
511,-300,15648
767,-488,15636
767,-488,15684
511,-268,15952
767,-472,15660
511,-260,15908
256,-304,15728
511,-320,15712
511,-292,15696
767,-512,15720
511,-296,15880
256,-292,15708
767,-732,16116
256,-328,15944
256,-296,15724
511,-296,15880
256,-304,15908
512,-488,15712
511,-280,15652
511,-280,15936
512,-496,15956
256,-336,15896
512,-480,15656
511,-268,15936
256,-280,15892
256,-300,15680
511,-332,15688
511,-284,15684
767,-472,15676
511,-308,15672
511,-264,15620
767,-460,15924
256,-336,15712
511,-284,15708
767,-500,15932
256,-304,15692
767,-504,15904
256,-260,15656
767,-440,15688
767,-508,15908
256,-340,15912
256,-292,15680
767,-512,15756
511,-280,15736
511,-300,15668
511,-268,15656
511,-348,15716
767,-476,15668
511,-260,15740
511,-296,15652
511,-272,15924
256,-312,15896
256,-280,15712
767,-508,15744
511,-284,15944
512,-508,15944
256,-272,15696
511,-288,15988
256,-316,15984
256,-324,15656
767,-484,15976
256,-268,15688
511,-552,16120
256,-276,15940
256,-260,15668
256,-292,15696
511,-304,15760
511,-332,15696
511,-292,15656
767,-484,15676
511,-328,15976
256,-260,15880
256,-264,15648
511,-292,15680
511,-308,15936
256,-288,15704
511,-288,15668
767,-512,15716
511,-296,15688
767,-508,15692
511,-324,15952
256,-268,15972
256,-308,15984
256,-276,15640
511,-280,15720
767,-752,15860
511,-308,15700
511,-316,15660
511,-268,15728
511,-280,15924
256,-276,15712
767,-480,15664
767,-488,15628
511,-328,15656
511,-276,15704
511,-336,15744
511,-280,15692
511,-280,15720
511,-276,15964
256,-264,15672
767,-484,15920
767,-480,15616
511,-264,15648
511,-280,15728
511,-264,15664
256,-272,15664
511,-328,15644
767,-496,15700
511,-364,15924
256,-264,15956
512,-488,15896
512,-472,15928
512,-500,15684
767,-512,15660
511,-280,15888
256,-276,15728
511,-288,15900
256,-336,15716
511,-280,15668
767,-488,15708
511,-260,15680
767,-480,15920
256,-312,15688
511,-292,15664
511,-296,15676
511,-324,15680
512,-480,15748
511,-272,15644
511,-336,15992
256,-296,15712
767,-512,15732
511,-332,15912
256,-276,15684
256,-292,15912
256,-300,15728
511,-336,15704
511,-348,15964
512,-508,15656
511,-328,15680
767,-504,15900
256,-268,15880
256,-260,15884
512,-480,15668
511,-276,15664
767,-472,15660
511,-292,15732
511,-356,15640
511,-340,15640
767,-480,15908
512,-512,15968
512,-480,15884
256,-320,15676
511,-264,15676
511,-284,15708
511,-300,15712
767,-504,15652
511,-280,15732
511,-288,15892
256,-284,15708
511,-276,15704
767,-504,15992
256,-260,15676
767,-488,15632
767,-508,15688
511,-264,15944
256,-356,15636
511,-348,15648
767,-496,15708
511,-308,15640
511,-288,15692
511,-304,15744
767,-512,15680
511,-260,15692
511,-312,15716
767,-488,15736
511,-304,15696
256,-288,15960
511,-540,15852
767,-512,15936
256,-284,15656
511,-280,15660
511,-400,15996
256,-268,15708
511,-284,15688
767,-508,15936
256,-284,15668
256,-300,15924
256,-260,15628
767,-496,15884
256,-292,15940
512,-496,15712
767,-460,15708
511,-292,15936
512,-480,15704
511,-264,15700
511,-320,15716
767,-512,15992
256,-296,15664
511,-272,15704
767,-504,15928
256,-324,15924
512,-496,15992
256,-260,15700
767,-492,15964
512,-452,15652
511,-260,15716
511,-272,15720
511,-316,15720
511,-336,15944
256,-284,15668
511,-296,15876
256,-276,15632
511,-272,15664
511,-312,15660
511,-264,15920
256,-276,15704
511,-324,15628
511,-324,15720
511,-320,15664
511,-268,15956
512,-504,15928
256,-332,15888
256,-336,15956
512,-468,15700
511,-308,15664
767,-496,15688
511,-260,15712
511,-316,15912
512,-484,15692
511,-296,15964
256,-296,15928
512,-432,15940
512,-492,15708
511,-260,15964
256,-316,15700
511,-280,15936
256,-372,15920
256,-284,15660
511,-296,15904
256,-324,15692
511,-264,15720
511,-304,15676
767,-512,15700
511,-288,15968
256,-308,15628
512,-476,15724
511,-332,15636
511,-324,15700
256,-280,15620
511,-332,15644
767,-504,15708
767,-508,15916
512,-512,15644
511,-272,15688
511,-288,15668
511,-304,15900
512,-768,15868
511,-352,15932
256,-300,15648
511,-312,15880
256,-308,15920
256,-384,15916
256,-264,15652
511,-264,15668
511,-268,15920
256,-360,15632
511,-260,15692
511,-336,15644
511,-276,15676
512,-472,15984
256,-296,15688
511,-300,15932
512,-504,15712
767,-504,15724
512,-468,15700
511,-284,15728
511,-404,15700
767,-500,15628
511,-316,15996
256,-360,15932
512,-444,15644
511,-300,15960
512,-508,15660
767,-500,15932
256,-340,15660
767,-448,15696
511,-312,15988
256,-288,15660
767,-476,15952
256,-264,15956
256,-316,15928
256,-288,15928
256,-572,15868
512,-764,15860
767,-448,15644
511,-272,15740
511,-344,15680
511,-580,15860
511,-324,15952
256,-296,15904
256,-276,15672
767,-508,16004
256,-300,15664
511,-344,15672
767,-500,15668
511,-324,15896
256,-292,15704
256,-300,15728
511,-304,15956
512,-512,15924
256,-276,15644
511,-336,15672
511,-316,15872
256,-312,15724
511,-340,15700
767,-496,15892
256,-328,15652
511,-296,15644
511,-328,15704
511,-276,15956
512,-484,15684
511,-292,15684
511,-284,15644
511,-264,15696
511,-328,15892
256,-264,15656
511,-300,15620
511,-324,15660
511,-280,15944
256,-300,15884
512,-468,15712
511,-264,15968
256,-520,15860
511,-328,15684
511,-260,15700
511,-376,15668
511,-332,15684
767,-504,15680
511,-320,15920
256,-304,15680
511,-312,15904
256,-296,15936
512,-504,15728
511,-316,15688
511,-308,15908
256,-268,15652
256,-312,15692
511,-324,15924
256,-260,15956
256,-364,15928
512,-484,15644
511,-264,15684
511,-300,15632
511,-288,15956
256,-312,15672
512,-512,15720
767,-484,15644
511,-352,15772
511,-272,15928
256,-260,15696
511,-288,15908
256,-276,15708
511,-300,15676
767,-488,15664
511,-264,15672
511,-316,15656
511,-304,15704
511,-276,15652
511,-344,15708
767,-512,15980
256,-284,15688
511,-264,15680
511,-292,15716
511,-336,15692
767,-480,15648
511,-276,15916
256,-276,15668
767,-464,15640
767,-464,15652
511,-344,15656
511,-260,15928
256,-296,15912
256,-260,15660
511,-264,15692
767,-484,15632
511,-316,15952
256,-308,15696
511,-332,15624
511,-316,15912
256,-276,15644
511,-276,15952
512,-512,15692
767,-452,15704
511,-260,15976
256,-296,15924
256,-276,15708
511,-288,15644
511,-300,15892
256,-272,15660
511,-288,15968
256,-308,15976
256,-304,15720
767,-500,15668
511,-516,15864
511,-284,15924
256,-312,15892
256,-308,15656
511,-292,15900
256,-264,15696
511,-300,15668
511,-324,15688
511,-300,15616
256,-292,15960
767,-476,15692
767,-500,15672
511,-324,15924
256,-284,15964
256,-360,15680
511,-312,15664
511,-316,15656
511,-316,15948
512,-476,15940
256,-292,15900
256,-340,15968
256,-332,15952
512,-492,15668
256,-348,15700
511,-336,15704
511,-316,15916
256,-344,15624
511,-324,15668
256,-292,15936
256,-288,15624
767,-508,15892
256,-328,15636
767,-500,15664
511,-316,15680
511,-312,15732
511,-292,15948
256,-268,15680
767,-488,15716
511,-328,15928
256,-280,15956
256,-280,15948
512,-488,15664
511,-288,15696
511,-300,15680
511,-324,15644
511,-296,15976
256,-292,15692
767,-496,16008
256,-288,15952
256,-336,15980
256,-324,15632
511,-268,15972
256,-268,15916
256,-328,15668
256,-332,15892
512,-504,15648
511,-300,15688
511,-284,15656
511,-296,15940
512,-492,15692
511,-348,15728
512,-500,15680
511,-272,15684
256,-260,15704
511,-292,15644
511,-356,15960
256,-276,15936
256,-280,15664
767,-760,15848
767,-484,15684
511,-284,15676
511,-280,15712
767,-476,15656
256,-352,15936
512,-500,15660
511,-288,15660
767,-508,15996
512,-476,15976
512,-504,15948
512,-508,15704
511,-284,15668
511,-272,15680
511,-264,15696
256,-304,15948
256,-344,15744
511,-296,15948
256,-300,15732
511,-296,15708
767,-476,15920
512,-488,15696
511,-284,15644
511,-276,15668
256,-276,15696
767,-500,15692
511,-336,15684
256,-368,15948
511,-280,15644
511,-320,15620
767,-488,15964
512,-464,15716
511,-320,15952
512,-484,15776
511,-324,15676
511,-324,15680
511,-292,15948
256,-612,16120
512,-496,15660
511,-536,16120
512,-500,15692
511,-280,15680
767,-496,15984
256,-300,15920
256,-276,15692
767,-492,15660
511,-276,15892
512,-496,15940
512,-488,16008
511,-308,15960
256,-332,15740
511,-264,15660
512,-512,15708
511,-296,15664
767,-508,15956
256,-352,15640
767,-472,15624
767,-724,16112
256,-296,15980
256,-272,15944
256,-292,15676
767,-456,15668
767,-512,15952
256,-328,15660
767,-512,15760
511,-344,15700
511,-280,15648
767,-512,15692
511,-580,15852
767,-492,15932
256,-552,15828
511,-272,15680
256,-320,15940
256,-316,15688
767,-512,15932
512,-488,15656
256,-296,15684
511,-292,15900
256,-344,15672
511,-296,15976
256,-284,15660
511,-296,15680
767,-496,15660
511,-276,15644
511,-368,15688
511,-312,15936
256,-264,15700
511,-284,15624
511,-272,15668
767,-460,15680
511,-268,15924
256,-288,15704
511,-300,15680
511,-284,15652
767,-476,15680
511,-292,15680
511,-276,15652
767,-508,15916
256,-300,15908
512,-504,15684
256,-312,16000
512,-472,15704
767,-508,15700
511,-312,15664
511,-276,15920
256,-312,15940
256,-288,15644
767,-488,15972
256,-296,15944
256,-312,15980
512,-432,15656
511,-304,15640
767,-464,15920
256,-272,15628
511,-272,15668
511,-296,15716
511,-364,15640
256,-316,15932
512,-512,15640
511,-288,15696
767,-484,15660
767,-492,15696
511,-296,15908
511,-300,15968
256,-308,15984
256,-268,15708
511,-264,15704
511,-336,15692
511,-272,15692
511,-336,15968
512,-504,15688
767,-508,15932
256,-260,15656
511,-272,15940
512,-744,15848
511,-316,15684
511,-340,15700
767,-504,15676
511,-304,15716
767,-480,15656
767,-492,15664
511,-340,15944
512,-472,15660
511,-272,16012
256,-292,15704
511,-276,15880
256,-276,15628
511,-320,15684
511,-280,15676
511,-296,15916
256,-540,16120
512,-472,15628
511,-308,15916
511,-276,15700
767,-512,15624
511,-268,15732
511,-284,15640
256,-292,15920
767,-488,15948
256,-312,15616
511,-308,15900
512,-476,15708
511,-268,15944
256,-272,15620
511,-288,15696
511,-292,15680
256,-268,15656
511,-288,15916
256,-332,15964
512,-496,15704
511,-276,15964
512,-476,15920
512,-452,15708
767,-504,15660
767,-500,15700
511,-280,15708
511,-308,15680
511,-272,15700
511,-324,15656
511,-280,15960
512,-512,15736
511,-292,15912
512,-492,15644
511,-312,15716
511,-364,15636
511,-344,15708
511,-312,15928
256,-280,15980
256,-272,15924
256,-272,15740
511,-268,15912
511,-300,16056
512,-480,15668
511,-292,15636
767,-508,15716
511,-300,15684
511,-264,15716
767,-468,15944
256,-280,15952
512,-688,16124
512,-496,15688
767,-484,15908
512,-460,15692
767,-508,15696
512,-512,15972
512,-488,15656
511,-316,15672
511,-340,15956
512,-492,15648
511,-264,15928
511,-312,15944
512,-504,15648
511,-328,15956
767,-512,15660
511,-308,15736
511,-276,15668
512,-504,15664
511,-364,15664
511,-260,15688
511,-260,15680
767,-492,15936
512,-468,15640
511,-288,15724
511,-288,15660
511,-296,15660
511,-292,15672
256,-304,15960
256,-280,15720
511,-308,15932
256,-276,15644
511,-268,15692
511,-336,16008
256,-260,15744
511,-336,15772
256,-284,15716
511,-292,15688
511,-284,15732
511,-312,15936
256,-284,15916
512,-508,15716
511,-276,15692
511,-288,15680
767,-512,15644
767,-500,15756
511,-340,15672
511,-324,15676
511,-268,15676
512,-472,15940
256,-324,15784
511,-300,15632
511,-276,15900
256,-272,15644
511,-288,15944
256,-320,15696
511,-272,15640
256,-316,15652
511,-284,15624
511,-296,15680
511,-312,15640
511,-264,15628
511,-296,15688
511,-328,15940
256,-268,15676
511,-560,15864
511,-276,15676
767,-460,15652
511,-316,15708
511,-284,15644
511,-272,15940
256,-276,15980
256,-296,15648
511,-268,15944
256,-284,15648
767,-508,15648
256,-536,15868
511,-272,15700
511,-308,15668
767,-448,15640
511,-260,15944
256,-308,15616
767,-472,15948
256,-264,15724
511,-296,15664
511,-276,15892
512,-492,15672
511,-264,15636
511,-296,15756
511,-308,15916
512,-508,15684
511,-284,15652
511,-292,15980
256,-296,15960
512,-460,15708
511,-304,15688
511,-296,15672
511,-320,15676
511,-316,15632
767,-492,15672
511,-332,15672
511,-316,15700
767,-504,15900
256,-308,15960
512,-428,15680
767,-500,15704
767,-504,15628
767,-488,15704
511,-312,15880
256,-292,15672
256,-300,15924
256,-328,16004
512,-512,15640
511,-260,15960
256,-272,15984
512,-496,15664
511,-272,15972
512,-508,15708
256,-268,15660
511,-296,15672
767,-508,15996
256,-332,15892
512,-496,15984
512,-492,15704
511,-260,15996
512,-504,15972
256,-264,15700
511,-312,15664
511,-264,15952
256,-272,15664
256,-320,15672
511,-288,15668
511,-264,15936
256,-304,15976
512,-504,15688
511,-308,15964
512,-476,15656
767,-480,15924
256,-628,15868
511,-272,15656
512,-468,15944
256,-320,15968
512,-472,16028
512,-464,15740
767,-468,15672
511,-288,15620
767,-484,15740
511,-320,15928
256,-304,15680
512,-500,15676
511,-276,15932
256,-268,15928
512,-484,15696
511,-288,15940
512,-484,15948
512,-492,15668
511,-308,16024
256,-308,15688
256,-296,15936
256,-292,15680
256,-316,15696
511,-328,15880
512,-496,15684
511,-268,15944
512,-484,15624
767,-720,16104
256,-300,15924
512,-504,15628
767,-496,15892
256,-264,15880
256,-276,15716
767,-496,15920
256,-352,15896
512,-508,15972
256,-308,15936
256,-308,15676
767,-488,15624
256,-280,15672
767,-476,15700
511,-296,15632
256,-336,15896
512,-464,15704
511,-284,15920
256,-320,15916
512,-500,15652
767,-496,15980
512,-500,15688
511,-312,15660
511,-272,15772
511,-264,15664
511,-280,15640
511,-300,15660
511,-288,15872
256,-300,15952
256,-280,15704
511,-276,15696
256,-272,15688
767,-508,15716
511,-336,15696
256,-332,15964
512,-496,15672
511,-552,16120
512,-504,15976
512,-464,16020
256,-324,15652
767,-496,15640
256,-276,15672
511,-344,15664
256,-264,15624
767,-512,15696
767,-492,15916
256,-308,15644
511,-532,15868
511,-260,15704
511,-272,15676
511,-288,15680
511,-312,15656
511,-268,15616
511,-264,15684
767,-492,15636
256,-288,15652
511,-264,15984
256,-264,15676
256,-276,15960
256,-268,15692
511,-336,15972
256,-300,15940
256,-268,15896
256,-272,15916
256,-260,15636
511,-272,15936
512,-484,15920
512,-504,15932
512,-488,15656
767,-508,15892
256,-272,15624
511,-264,15912
256,-320,15668
767,-504,15708
511,-272,15916
256,-268,15900
256,-284,15756
511,-280,15960
256,-264,15680
511,-268,15928
256,-288,15652
512,-428,15952
256,-268,15916
512,-504,15972
256,-264,15720
511,-296,15652
511,-280,15768
511,-308,15680
256,-276,15676
767,-460,15704
767,-480,15920
256,-272,15728
767,-468,15660
512,-512,15680
511,-304,15644
511,-284,15640
767,-488,15704
767,-504,15652
511,-320,15924
256,-320,15736
767,-468,15624
511,-284,15680
511,-300,15680
511,-272,15912
512,-512,15640
767,-504,15676
511,-288,15700
511,-296,15948
256,-528,16120
256,-292,15672
511,-260,15704
767,-476,15636
511,-320,15624
511,-288,15656
511,-264,15944
256,-304,15984
512,-488,15684
511,-268,15704
767,-488,15952
512,-504,15672
511,-304,15964
256,-292,15676
511,-264,15720
511,-288,15632
511,-316,15892
256,-308,15644
767,-496,15740
511,-272,15712
767,-468,15672
511,-292,15940
256,-304,15640
767,-452,15736
511,-288,15644
511,-268,15680
511,-616,15856
256,-304,15680
511,-288,16016
256,-596,15832
767,-500,15924
512,-732,15868
767,-500,15676
511,-304,15688
511,-288,15704
511,-328,15916
256,-292,15688
256,-340,15920
256,-524,15860
767,-512,15924
256,-288,15928
512,-468,15964
256,-268,15720
511,-260,15732
512,-496,15656
256,-316,15644
511,-300,15648
767,-492,15668
511,-308,15644
511,-284,15948
512,-508,15940
512,-496,15676
511,-348,15620
767,-476,15744
511,-268,15724
511,-312,15676
256,-304,15660
511,-568,15868
511,-276,15676
511,-324,15688
511,-320,15644
767,-500,15680
767,-512,15636
767,-480,15620
767,-480,15696
511,-280,15656
511,-324,15656
511,-364,15620
767,-480,16000
512,-444,15640
511,-260,15876
256,-308,15964
512,-500,15652
511,-328,15692
511,-268,15708
511,-592,15860
256,-264,15716
511,-340,15704
511,-348,15944
256,-264,15692
511,-288,15664
767,-480,16004
256,-280,15696
511,-296,15708
511,-308,15684
256,-320,16004
256,-300,15664
511,-308,15696
511,-304,15676
511,-288,15948
512,-444,15700
511,-264,15664
511,-292,15988
256,-268,15728
